"stem.age","genus"
23.183753,"Inula"
17.361449,"Helenium"
14.456828,"Guizotia"
13.40258,"Ageratina"
13.40258,"Praxelis"
12.278049,"Xanthium"
11.946744,"Parthenium"
11.946744,"Helianthus"
15.389091,"Flaveria"
5.158285,"Senecio"
5.158285,"Jacobaea"
11.03528,"Cissampelopsis"
8.118224,"Aster"
7.704648,"Erigeron"
7.704648,"Solidago"
24.909278,"Leontopodium"
4.792391,"Tanacetum"
4.464625,"Cota"
4.464625,"Matricaria"
2.065886,"Artemisia"
2.065886,"Chrysanthemum"
49.350685,"Nymphoides"
49.350685,"Menyanthes"
81.471823,"Stylidium"
78.9,"Quintinia"
41.61007,"Weigela"
4.653639,"Abelia"
3.891201,"Dipelta"
3.891201,"Kolkwitzia"
31.141278,"Morina"
17.457866,"Valeriana"
17.457866,"Nardostachys"
7.464409,"Pterocephalus"
7.464409,"Dipsacus"
12.443899,"Symphoricarpos"
12.443899,"Triosteum"
14.849236,"Leycesteria"
16.809514,"Lonicera"
33.359862,"Viburnum"
12.410889,"Adoxa"
12.410889,"Sambucus"
73.589444,"Pennantia"
64.993282,"Torricellia"
60.858715,"Griselinia"
54.060247,"Pittosporum"
37.8,"Hydrocotyle"
6.729551,"Schefflera"
4.813779,"Dendropanax"
4.525277,"Hedera"
4.006348,"Fatsia"
4.006348,"Oreopanax"
4.271649,"Brassaiopsis"
4.271649,"Eleutherococcus"
4.083454,"Kalopanax"
4.083454,"Metapanax"
12.732907,"Polyscias"
8.183736,"Panax"
8.183736,"Aralia"
49.190394,"Centella"
33.085909,"Bupleurum"
14.682729,"Oxypolis"
14.682729,"Oenanthe"
5.075149,"Petroselinum"
2.668016,"Foeniculum"
2.668016,"Anethum"
12.377374,"Carum"
12.377374,"Crithmum"
6.563703,"Coriandrum"
4.209551,"Heracleum"
4.209551,"Angelica"
4.283154,"Seseli"
6.366072,"Pastinaca"
5.507261,"Ligusticum"
5.507261,"Notopterygium"
14.747711,"Daucus"
14.747711,"Pternopetalum"
15.721168,"Anthriscus"
73.108587,"Desfontainia"
1.612956,"Berzelia"
1.612956,"Brunia"
28.037353,"Hydrocera"
28.037353,"Impatiens"
46.089861,"Pelliciera"
9.785404,"Marcgravia"
9.785404,"Souroubea"
76.442917,"Fouquieria"
26.537364,"Phlox"
26.537364,"Polemonium"
86.329422,"Clethra"
8.953956,"Vaccinium"
8.953956,"Cavendishia"
12.752124,"Rhododendron"
12.752124,"Ledum"
63.285404,"Monotropa"
63.285404,"Sarcodes"
73.773542,"Arbutus"
86.388164,"Roridula"
83.6,"Actinidia"
83.6,"Saurauia"
39.349882,"Sarracenia"
39.349882,"Darlingtonia"
68.479166,"Symplocos"
34.503288,"Galax"
5.30131,"Shortia"
5.30131,"Diapensia"
49.971073,"Styrax"
7.278269,"Melliodendron"
7.278269,"Sinojackia"
9.722911,"Alniphyllum"
9.722911,"Bruinsmia"
22.218382,"Stewartia"
6.148308,"Franklinia"
6.148308,"Schima"
4.09569,"Pyrenaria"
4.09569,"Camellia"
44.886826,"Sladenia"
30.57002,"Pentaphylax"
3.620385,"Ternstroemia"
3.620385,"Anneslea"
6.292745,"Freziera"
0.92308,"Adinandra"
0.92308,"Cleyera"
72.888312,"Diospyros"
7.047965,"Sideroxylon"
0.884512,"Manilkara"
0.884512,"Sapota"
5.791279,"Synsepalum"
5.791279,"Pouteria"
50.143024,"Maesa"
2.952863,"Bonellia"
2.952863,"Jacquinia"
30.724786,"Primula"
30.724786,"Androsace"
21.704023,"Lysimachia"
9.958534,"Ardisia"
9.958534,"Embelia"
88.64261,"Barringtonia"
