"stem.age","genus"
94.129927,"Calycanthus"
94.129927,"Chimonanthus"
107.852959,"Idiospermum"
28.96436,"Ambavia"
28.96436,"Cananga"
34.306448,"Annickia"
34.306448,"Polyalthia"
43.606013,"Asimina"
43.606013,"Mkilua"
74.060464,"Anaxagorea"
98.266098,"Eupomatia"
112.61009,"Liriodendron"
89.708547,"Degeneria"
89.708547,"Galbulimima"
130.190401,"Mauloutchia"
55.250957,"Actinotus"
55.250957,"Mackinlaya"
23.41253,"Apium"
23.41253,"Heteromorpha"
26.60589,"Arctopus"
26.60589,"Sanicula"
25.505583,"Hermas"
25.505583,"Klotzschia"
37.294493,"Azorella"
37.294493,"Bowlesia"
64.896858,"Platysace"
29.438112,"Delarbrea"
29.438112,"Myodocarpus"
52.434341,"Hydrocotyle"
52.434341,"Panax"
28.701405,"Pittosporum"
28.701405,"Billardiera"
64.613016,"Aralidium"
64.613016,"Melanophylla"
86.355262,"Griselinia"
96.349105,"Pennantia"
49.71305,"Columellia"
49.71305,"Desfontainia"
61.501849,"Adoxa"
61.501849,"Viburnum"
55.205,"Diervilla"
37.465752,"Dipelta"
32.74629,"Morina"
19.281234,"Triplostegia"
19.281234,"Valeriana"
29.243818,"Zabelia"
46.985314,"Heptacodium"
51.799534,"Lonicera"
107.086116,"Eremosyne"
69.994783,"Paracryphia"
69.994783,"Quintinia"
67.605517,"Berzelia"
67.605517,"Linconia"
23.403186,"Alseuosmia"
23.403186,"Platyspermation"
18.753767,"Argophyllum"
18.753767,"Corokia"
71.817968,"Phelline"
73.872925,"Donatia"
73.872925,"Stylidium"
12.343278,"Ainsliaea"
12.343278,"Pertya"
14.37127,"Brachyglottis"
14.37127,"Helianthus"
18.210267,"Corymbium"
20.080403,"Gymnarrhena"
15.932499,"Sinclairia"
15.932499,"Tragopogon"
23.823203,"Echinops"
23.823203,"Oldenburgia"
29.7592,"Hecastocleis"
27.396284,"Nassauvia"
27.396284,"Onoseris"
20.097198,"Cnicothamnus"
20.097198,"Cyclolepis"
21.491165,"Hyalis"
21.491165,"Wunderlichia"
13.735312,"Hyaloseris"
13.735312,"Stifftia"
39.109022,"Famatinanthus"
29.213064,"Barnadesia"
29.213064,"Chuquiraga"
74.271443,"Boopis"
60.171169,"Dampiera"
60.171169,"Scaevola"
59.570804,"Menyanthes"
59.570804,"Nymphoides"
101.856527,"Pentaphragma"
26.670686,"Campanula"
26.670686,"Trachelium"
46.926956,"Codonopsis"
52.572617,"Cyphia"
43.164209,"Nemacladus"
43.164209,"Pseudonemacladus"
66.383875,"Lobelia"
73.321893,"Cyphocarpus"
100.351634,"Carpodetus"
75.611303,"Ilex"
63.336177,"Helwingia"
63.336177,"Phyllonoma"
59.05325,"Citronella"
59.05325,"Gonocaryum"
31.369595,"Irvingbaileya"
31.369595,"Lasianthera"
33.013952,"Borago"
33.013952,"Echiochilon"
53.171866,"Wellstedia"
38.619859,"Coldenia"
38.619859,"Hoplestigma"
33.817247,"Cordia"
33.817247,"Varronia"
59.299647,"Bourreria"
36.499443,"Heliotropium"
36.499443,"Ixorhea"
67.092532,"Eriodictyon"
37.670509,"Hydrophyllum"
37.670509,"Phacelia"
41.095211,"Acanthus"
41.095211,"Justicia"
50.204584,"Avicennia"
31.859001,"Mendoncia"
31.859001,"Thunbergia"
46.490791,"Nelsonia"
46.490791,"Staurogyne"
46.794926,"Catalpa"
46.794926,"Jacaranda"
53.395508,"Petrea"
55.081828,"Exarata"
55.081828,"Thomandersia"
59.690335,"Ibicella"
27.507229,"Ajuga"
27.507229,"Karomia"
35.452445,"Cornutia"
35.452445,"Premna"
17.880243,"Colebrookea"
17.880243,"Pogostemon"
24.850108,"Cymaria"
24.719923,"Scutellaria"
24.719923,"Wenchengia"
36.746593,"Peronema"
36.746593,"Petraeovitex"
51.069277,"Tectona"
40.970086,"Congea"
40.970086,"Vitex"
47.196176,"Callicarpa"
30.753469,"Chloanthes"
30.753469,"Prostanthera"
36.820112,"Lavandula"
36.820112,"Perilla"
34.398179,"Dodartia"
34.398179,"Mazus"
29.573799,"Alectra"
29.573799,"Striga"
43.367898,"Epifagus"
42.498084,"Brandisia"
23.285645,"Castilleja"
23.285645,"Pedicularis"
33.876242,"Lathraea"
33.876242,"Pterygiella"
32.411659,"Cymbaria"
32.411659,"Schwalbea"
52.805531,"Lindenbergia"
33.965734,"Rehmannia"
33.965734,"Triaenophora"
63.423464,"Paulownia"
65.778339,"Mimulus"
38.650372,"Pinguicula"
38.650372,"Utricularia"
27.643949,"Sesamum"
27.643949,"Uncarina"
72.904822,"Byblis"
48.224188,"Euthystachys"
48.224188,"Halleria"
55.092353,"Lindernia"
55.092353,"Stemodiopsis"
64.225508,"Alonsoa"
46.643414,"Aptosimum"
18.40014,"Leucophyllum"
18.40014,"Myoporum"
35.842722,"Buddleja"
35.842722,"Limosella"
40.870097,"Verbascum"
60.589053,"Angelonia"
60.589053,"Gratiola"
61.394755,"Antirrhinum"
43.313663,"Plantago"
43.313663,"Veronica"
21.582495,"Calceolaria"
21.582495,"Jovellana"
67.826163,"Peltanthera"
47.327483,"Besleria"
47.327483,"Sanango"
47.771381,"Rhynchoglossum"
47.771381,"Streptocarpus"
92.387453,"Polypremum"
24.529288,"Carlemannia"
24.529288,"Silvianthus"
48.896643,"Nyctanthes"
48.896643,"Syringa"
103.816224,"Plocosperma"
30.745952,"Alstonia"
30.745952,"Dyera"
36.111568,"Amsonia"
36.111568,"Asclepias"
32.604196,"Cataranthus"
32.604196,"Tabernaemontana"
38.993708,"Aspidosperma"
38.993708,"Haplophyton"
43.159275,"Gelsemium"
43.159275,"Mostuea"
34.534593,"Anthocleista"
29.412321,"Chelonanthus"
29.412321,"Voyria"
40.797384,"Centaurium"
53.282338,"Exacum"
68.375805,"Saccifolium"
60.832926,"Antonia"
60.832926,"Spigelia"
45.981083,"Amphidasya"
45.981083,"Galium"
33.209815,"Cinchona"
33.209815,"Guettarda"
48.838073,"Coffea"
48.838073,"Posoqueria"
66.377837,"Coptosapelta"
66.377837,"Luculia"
35.707249,"Cuscuta"
35.707249,"Ipomoea"
31.513261,"Dinetus"
31.513261,"Evolvulus"
40.432491,"Erycibe"
64.939442,"Humbertia"
20.151069,"Anthocercis"
20.151069,"Nicotiana"
21.848732,"Nolana"
21.848732,"Solanum"
6.199212,"Benthamiella"
6.199212,"Combera"
26.792248,"Cestrum"
26.792248,"Salpiglossis"
30.009311,"Brunfelsia"
30.009311,"Petunia"
22.036837,"Heteranthia"
22.036837,"Schwenckia"
45.469656,"Duckeodendron"
21.877709,"Goetzea"
21.877709,"Metternichia"
58.608525,"Schizanthus"
67.97568,"Hydrolea"
67.97568,"Sphenoclea"
89.847573,"Kaliphora"
117.691227,"Vahlia"
75.773212,"Eucommia"
75.773212,"Aucuba"
111.143693,"Platea"
115.151194,"Cassinopsis"
125.679352,"Oncotheca"
87.170649,"Actinidia"
87.170649,"Saurauia"
94.811369,"Roridula"
100.224474,"Darlingtonia"
61.698994,"Clethra"
61.698994,"Purdiaea"
96.412624,"Cliftonia"
67.896011,"Agarista"
67.896011,"Vaccinium"
47.153928,"Epacris"
47.153928,"Prionotes"
76.842018,"Harrimanella"
68.253464,"Cassiope"
43.05587,"Kalmia"
43.05587,"Rhododendron"
25.808671,"Arbutus"
25.808671,"Arctostaphylos"
58.770674,"Monotropa"
58.770674,"Pterospora"
37.603028,"Chimaphila"
37.603028,"Pyrola"
92.818338,"Enkianthus"
50.908009,"Diapensia"
50.908009,"Galax"
70.590006,"Mitrastemon"
65.473619,"Halesia"
65.473619,"Styrax"
60.888043,"Cordyblaste"
60.888043,"Symplocos"
57.084066,"Camellia"
57.084066,"Stewartia"
71.052378,"Manilkara"
71.052378,"Sarcosperma"
70.136305,"Eurya"
70.136305,"Pentaphylax"
96.69331,"Ficalhoa"
24.912427,"Diospyros"
24.912427,"Euclea"
52.716261,"Lissocarpa"
58.089914,"Barringtonia"
58.089914,"Napoleonaea"
93.392753,"Fouquieria"
56.579619,"Acanthogilia"
56.579619,"Cobaea"
48.088408,"Anagallis"
48.088408,"Stimpsonia"
57.034941,"Androsace"
54.437367,"Clavija"
54.437367,"Samolus"
84.28031,"Maesa"
54.217251,"Impatiens"
54.217251,"Pelliciera"
34.434366,"Marcgravia"
34.434366,"Norantea"
75.815958,"Alangium"
75.815958,"Cornus"
67.010392,"Curtisia"
67.010392,"Grubbia"
75.221778,"Fendlera"
32.927354,"Eucnide"
32.927354,"Mentzelia"
86.366249,"Hydrostachys"
101.554851,"Diplopanax"
9.320022,"Achatocarpus"
9.320022,"Phaulothamnus"
56.671375,"Acroglochin"
56.671375,"Beta"
31.726085,"Agriophyllum"
31.726085,"Corispermum"
40.522615,"Chenopodium"
40.522615,"Spinacia"
24.081397,"Allenrolfea"
24.081397,"Salicornia"
30.13598,"Bienertia"
30.13598,"Suaeda"
33.448252,"Haloxylon"
33.448252,"Salsola"
20.501616,"Sclerolaena"
20.501616,"Spirobassia"
41.561663,"Aerva"
41.561663,"Celosia"
38.308551,"Nitrophila"
38.308551,"Polycnemum"
57.498343,"Corrigiola"
57.498343,"Telephium"
42.017451,"Drymaria"
42.017451,"Polycarpon"
39.625163,"Minuartia"
39.625163,"Spergularia"
39.592964,"Sagina"
39.592964,"Scleranthus"
39.519883,"Silene"
39.519883,"Stellaria"
52.521328,"Herniaria"
52.521328,"Paronychia"
37.55021,"Carpanthea"
37.55021,"Delosperma"
12.248841,"Mesembryanthemum"
12.248841,"Psilocaulon"
36.890896,"Galenia"
36.890896,"Tetragonia"
38.717006,"Sesuvium"
38.717006,"Trianthema"
81.807119,"Gisekia"
42.895211,"Mirabilis"
42.895211,"Reichenbachia"
58.669852,"Sarcobatus"
39.67627,"Rivina"
39.67627,"Seguieria"
76.463473,"Agdestis"
89.600904,"Barbeuia"
90.991574,"Kewa"
55.217194,"Corbichonia"
55.217194,"Lophiocarpus"
25.330495,"Anacampseros"
25.330495,"Talinopsis"
22.458702,"Opuntia"
22.458702,"Pereskia"
41.823408,"Portulaca"
47.9131,"Talinum"
46.730794,"Anredera"
33.249472,"Alluaudia"
33.249472,"Portulacaria"
42.684165,"Halophytum"
43.229349,"Claytonia"
43.229349,"Phemeranthus"
57.719039,"Hypertelis"
57.719039,"Mollugo"
36.883449,"Limeum"
36.883449,"Lineum"
103.590804,"Stegnosperma"
95.717825,"Macarthuria"
95.717825,"Microtea"
62.789592,"Asteropeia"
62.789592,"Physena"
123.22529,"Simmondsia"
127.256524,"Rhabdodendron"
38.016697,"Ancistrocladus"
11.762133,"Habropetalum"
11.762133,"Triphyophyllum"
62.205239,"Drosophyllum"
88.202922,"Nepenthes"
101.890022,"Dionaea"
65.913901,"Frankenia"
36.096374,"Reaumuria"
36.096374,"Tamarix"
49.427865,"Limonium"
49.427865,"Plumbago"
31.134843,"Afrobrunnichia"
31.134843,"Coccoloba"
40.786708,"Polygonum"
50.150679,"Symmeria"
38.682921,"Aextoxicon"
31.138332,"Berberidopsis"
31.138332,"Streptothamnus"
81.260558,"Aptandra"
81.260558,"Phanerodiscus"
65.732779,"Olax"
65.732779,"Ptychopetalum"
127.025284,"Octoknema"
97.129576,"Balanophora"
97.129576,"Helosis"
77.65059,"Hachettea"
77.65059,"Mystropetalon"
43.212754,"Gaiadendron"
43.212754,"Nuytsia"
90.803898,"Misodendrum"
90.803898,"Quinchamalium"
100.958676,"Lepionurus"
76.138595,"Comandra"
76.138595,"Santalum"
20.406759,"Coula"
20.406759,"Minquartia"
125.651501,"Malania"
102.421297,"Erythropalum"
102.421297,"Heisteria"
136.41193,"Scorodocarpus"
68.037543,"Akania"
68.037543,"Bretschneidera"
87.399547,"Tropaeolum"
29.179526,"Carica"
29.179526,"Cylicomorpha"
80.632337,"Moringa"
30.619494,"Batis"
30.619494,"Azima"
70.739292,"Koeberlinia"
40.852634,"Aethionema"
24.733422,"Allysum"
24.733422,"Berteroa"
22.167339,"Arabidopsis"
22.167339,"Biscutella"
21.956623,"Chorispora"
21.956623,"Hesperis"
37.494353,"Cleome"
37.494353,"Cleomella"
40.433512,"Capparis"
40.433512,"Crateva"
49.882139,"Gyrostemon"
49.882139,"Borthwickia"
62.640591,"Pentadiplandra"
74.458247,"Tovaria"
92.240603,"Setchellanthus"
27.599879,"Floerkea"
27.599879,"Limnanthes"
101.04935,"Emblingia"
52.44969,"Bixa"
52.44969,"Cochlospermum"
20.474033,"Dialyceras"
20.474033,"Rhopalocarpus"
35.307204,"Helianthemum"
35.307204,"Pakaraimaea"
56.367148,"Leptolaena"
60.847201,"Anisoptera"
60.847201,"Monotes"
56.183274,"Bdallophytum"
56.183274,"Cytinus"
69.709035,"Dicraspidia"
24.667422,"Berrya"
24.667422,"Brownlowia"
32.809094,"Brachychiton"
32.809094,"Sterculia"
44.837398,"Fremontodendron"
38.943445,"Gossypium"
38.943445,"Ochroma"
35.047762,"Craigia"
35.047762,"Tilia"
19.324734,"Nesogordonia"
19.324734,"Pterospermum"
51.873456,"Durio"
51.873456,"Reevesia"
56.553467,"Byttneria"
56.553467,"Theobroma"
40.289769,"Corchorus"
40.289769,"Grewia"
104.310125,"Gonystylus"
109.122034,"Grielum"
52.590699,"Dipentodon"
52.590699,"Perrottetia"
66.63337,"Huertea"
67.067363,"Gerrardina"
67.067363,"Petenaea"
63.310292,"Schinus"
63.310292,"Spondias"
82.175676,"Beiselia"
93.954399,"Kirkia"
81.063731,"Biebersteinia"
36.063263,"Nitraria"
36.063263,"Peganum"
60.03534,"Swietenia"
60.03534,"Trichilia"
69.858999,"Citrus"
61.748403,"Dictamnus"
61.748403,"Melicope"
67.350478,"Cneorum"
67.350478,"Spathelia"
60.740099,"Ailanthus"
60.740099,"Castela"
74.414513,"Cupaniopsis"
74.414513,"Xanthoceras"
131.701467,"Alvaradoa"
89.434755,"Aphloia"
60.632429,"Geissoloma"
60.632429,"Ixerba"
49.366878,"Glossopetalon"
49.366878,"Stachyurus"
52.683788,"Guamatela"
76.090415,"Euscaphis"
36.846172,"Alzatea"
25.426744,"Penaea"
25.426744,"Rhynchocalyx"
28.728807,"Crypteronia"
28.728807,"Dactylocladus"
38.35422,"Clidemia"
38.35422,"Pternandra"
17.752033,"Mouriri"
17.752033,"Warneckea"
25.202474,"Heteropyxis"
25.202474,"Psiloxylon"
63.034071,"Lophostemon"
63.034071,"Myrtus"
97.595575,"Qualea"
48.367654,"Strephonema"
48.367654,"Terminalia"
78.749062,"Lythrum"
78.749062,"Punica"
63.969578,"Clarkia"
63.969578,"Ludwigia"
81.335692,"Greyia"
